"ISO3","region"
"TCD","Sub-Saharan Africa"
"TGO","Sub-Saharan Africa"
"THA","East Asia & Pacific"
"TJK","Europe & Central Asia"
"TKM","Europe & Central Asia"
"TLS","East Asia & Pacific"
"TTO","Latin America & Caribbean"
"TUN","Middle East & North Africa"
"TUR","Europe & Central Asia"
"TWN","East Asia & Pacific"
"TZA","Sub-Saharan Africa"
"UGA","Sub-Saharan Africa"
"UKR","Europe & Central Asia"
"URY","Latin America & Caribbean"
"USA","North America"
"UZB","Europe & Central Asia"
"VEN","Latin America & Caribbean"
"VNM","East Asia & Pacific"
"VUT","East Asia & Pacific"
"YEM","Middle East & North Africa"
"ZAF","Sub-Saharan Africa"
"ZMB","Sub-Saharan Africa"
"ZWE","Sub-Saharan Africa"
"BHR","Middle East & North Africa"
"BRB","Latin America & Caribbean"
"COM","Sub-Saharan Africa"
"CPV","Sub-Saharan Africa"
"MLT","Europe & Central Asia"
"MUS","Sub-Saharan Africa"
"SGP","East Asia & Pacific"
"STP","Sub-Saharan Africa"
"TON","East Asia & Pacific"
"VCT","Latin America & Caribbean"
"WSM","East Asia & Pacific"
