"ISO3","YEAR","GDLCODE","GEO_AREA","fies","population","stunting","u5pop"
"AGO",2030,"AGOr216","urban",0,0,0,0
"AGO",2030,"AGOr215","rural",1422853,2183849,944500,2925065
"AGO",2030,"AGOr215","urban",673707,1034032,447212,1384991
"AGO",2030,"AGOr210","rural",0,0,0,0
"AGO",2030,"AGOr210","urban",866376,1525447,1642673,4310056
"AGO",2030,"AGOr212","rural",569466,840651,1718412,4237614
"AGO",2030,"AGOr212","urban",9735,14371,29376,72442
"AGO",2030,"AGOr211","rural",12681,23759,26966,64978
"AGO",2030,"AGOr211","urban",828461,1552193,1761693,4245078
"AGO",2030,"AGOr218","rural",28106,42753,495798,1591259
"AGO",2030,"AGOr218","urban",48021,73047,847112,2718797
"AGO",2030,"AGOr217","rural",266900,385043,1951782,4258681
"AGO",2030,"AGOr217","urban",3220,4645,23545,51375
"AGO",2030,"AGOr203","rural",15022,25998,25063,71495
"AGO",2030,"AGOr203","urban",890565,1541292,1485853,4238561
"AGO",2030,"AGOr202","rural",667413,995749,1168185,4018801
"AGO",2030,"AGOr202","urban",48369,72165,84662,291255
"AGO",2030,"AGOr205","rural",2487,4283,28724,67682
"AGO",2030,"AGOr205","urban",155877,268462,1800451,4242374
"AGO",2030,"AGOr204","rural",1138,1764,99,398
"AGO",2030,"AGOr204","urban",12313980,19091245,1068974,4309658
"AGO",2030,"AGOr201","rural",13421,23177,15942,53411
"AGO",2030,"AGOr201","urban",1069620,1847107,1270473,4256645
"AGO",2030,"AGOr207","rural",1016845,1491269,1612973,4186508
"AGO",2030,"AGOr207","urban",30008,44009,47601,123548
"AGO",2030,"AGOr206","rural",418013,715020,195165,456003
"AGO",2030,"AGOr206","urban",3532967,6043214,1649495,3854053
"AGO",2030,"AGOr209","rural",16050,26284,20035,54336
"AGO",2030,"AGOr209","urban",1257075,2058614,1569203,4255720
"AGO",2030,"AGOr208","rural",855862,1233028,1908133,4310056
"AGO",2030,"AGOr208","urban",0,0,0,0
"ALB",2020,"ALBr210","rural",26537,169236,0,171705
"ALB",2020,"ALBr210","urban",1829,11662,0,11832
"ALB",2020,"ALBr212","rural",29454,158622,0,161200
"ALB",2020,"ALBr212","urban",4081,21980,0,22337
"ALB",2020,"ALBr211","rural",1148,4834,0,973
"ALB",2020,"ALBr211","urban",215330,906989,0,182564
"ALB",2020,"ALBr205","rural",1005,3272,0,2095
"ALB",2020,"ALBr205","urban",87043,283408,0,181442
"ALB",2020,"ALBr204","rural",14687,67645,0,46451
"ALB",2020,"ALBr204","urban",43343,199632,0,137086
"ALB",2020,"ALBr207","rural",37378,228546,0,174199
"ALB",2020,"ALBr207","urban",2004,12251,0,9338
"ALB",2020,"ALBr206","rural",7691,53645,0,160423
"ALB",2020,"ALBr206","urban",1108,7729,0,23113
"ALB",2020,"ALBr201","rural",6023,23961,0,35972
"ALB",2020,"ALBr201","urban",24709,98294,0,147565
"ALB",2020,"ALBr203","rural",2677,14104,0,8737
"ALB",2020,"ALBr203","urban",53549,282179,0,174800
"ALB",2020,"ALBr202","rural",20695,101004,0,155208
"ALB",2020,"ALBr202","urban",3777,18435,0,28328
"ALB",2020,"ALBr209","rural",13565,50523,0,73450
"ALB",2020,"ALBr209","urban",20331,75724,0,110087
"ALB",2020,"ALBr208","rural",9076,61696,0,146938
"ALB",2020,"ALBr208","urban",2261,15367,0,36599
"ALB",2025,"ALBr210","rural",18713,128799,0,160440
"ALB",2025,"ALBr210","urban",1867,12852,0,16009
"ALB",2025,"ALBr212","rural",18055,140267,0,128275
"ALB",2025,"ALBr212","urban",6781,52678,0,48174
"ALB",2025,"ALBr211","rural",707,3734,0,642
"ALB",2025,"ALBr211","urban",193720,1022474,0,175807
"ALB",2025,"ALBr205","rural",519,2982,0,1906
"ALB",2025,"ALBr205","urban",47573,273141,0,174543
"ALB",2025,"ALBr204","rural",7451,58116,0,42737
"ALB",2025,"ALBr204","urban",23313,181829,0,133712
"ALB",2025,"ALBr207","rural",26109,213360,0,149459
"ALB",2025,"ALBr207","urban",4715,38529,0,26990
"ALB",2025,"ALBr206","rural",5711,45168,0,152471
"ALB",2025,"ALBr206","urban",898,7103,0,23977
"ALB",2025,"ALBr201","rural",2830,20980,0,33532
"ALB",2025,"ALBr201","urban",12060,89418,0,142916
"ALB",2025,"ALBr203","rural",1986,10892,0,5767
"ALB",2025,"ALBr203","urban",58779,322358,0,170682
"ALB",2025,"ALBr202","rural",13146,89262,0,147366
"ALB",2025,"ALBr202","urban",2594,17616,0,29083
"ALB",2025,"ALBr209","rural",6212,47735,0,64515
"ALB",2025,"ALBr209","urban",10777,82820,0,111934
"ALB",2025,"ALBr208","rural",7731,59572,0,139612
"ALB",2025,"ALBr208","urban",2040,15718,0,36837
"ALB",2030,"ALBr210","rural",13965,97207,0,145578
"ALB",2030,"ALBr210","urban",1859,12939,0,19378
"ALB",2030,"ALBr212","rural",15257,117983,0,94786
"ALB",2030,"ALBr212","urban",11295,87342,0,70170
"ALB",2030,"ALBr211","rural",449,2291,0,331
"ALB",2030,"ALBr211","urban",223584,1140936,0,164625
"ALB",2030,"ALBr205","rural",447,2703,0,1683
"ALB",2030,"ALBr205","urban",43393,262223,0,163273
"ALB",2030,"ALBr204","rural",6439,49614,0,38179
"ALB",2030,"ALBr204","urban",21383,164748,0,126777
"ALB",2030,"ALBr207","rural",24023,195667,0,122963
"ALB",2030,"ALBr207","urban",8204,66822,0,41993
"ALB",2030,"ALBr206","rural",4969,37864,0,140889
"ALB",2030,"ALBr206","urban",849,6468,0,24067
"ALB",2030,"ALBr201","rural",2256,18286,0,30383
"ALB",2030,"ALBr201","urban",9991,80992,0,134573
"ALB",2030,"ALBr203","rural",1348,6767,0,2994
"ALB",2030,"ALBr203","urban",72907,366093,0,161962
"ALB",2030,"ALBr202","rural",11586,78536,0,136030
"ALB",2030,"ALBr202","urban",2464,16700,0,28926
"ALB",2030,"ALBr209","rural",5417,44626,0,54727
"ALB",2030,"ALBr209","urban",10910,89884,0,110229
"ALB",2030,"ALBr208","rural",7346,57292,0,128956
"ALB",2030,"ALBr208","urban",2051,15994,0,36000
"ARE",2020,"AREt","rural",96951,1238774,0,70731
"ARE",2020,"AREt","urban",686155,8767242,0,500585
"ARE",2025,"AREt","rural",88672,1231639,0,59234
"ARE",2025,"AREt","urban",710057,9862598,0,474327
"ARE",2030,"AREt","rural",82224,1215939,0,52197
"ARE",2030,"AREt","urban",736305,10888595,0,467420
"ARG",2020,"ARGr110","rural",50523,171207,0,162970
"ARG",2020,"ARGr110","urban",974470,3302153,0,3143286
"ARG",2020,"ARGr111","rural",72752,242209,0,307528
"ARG",2020,"ARGr111","urban",709410,2361794,0,2998727
"ARG",2020,"ARGr101","rural",0,0,0,0
"ARG",2020,"ARGr101","urban",872294,3505944,0,3306256
"ARG",2020,"ARGr107","rural",227352,930152,0,1339271
"ARG",2020,"ARGr107","urban",333912,1366113,0,1966985
"ARG",2020,"ARGr106","rural",55540,186590,23029,354995
"ARG",2020,"ARGr106","urban",461734,1551222,191453,2951261
"ARG",2020,"ARGr109","rural",139182,489870,0,587085
"ARG",2020,"ARGr109","urban",644644,2268906,0,2719171
"ARG",2020,"ARGr108","rural",77952,281838,66343,442709
"ARG",2020,"ARGr108","urban",504212,1822995,429121,2863547
"ARG",2020,"ARGr103","rural",77861,268886,0,630428
"ARG",2020,"ARGr103","urban",330476,1141276,0,2675828
"ARG",2020,"ARGr102","rural",95014,316452,0,58051
"ARG",2020,"ARGr102","urban",5316484,17707007,0,3248205
"ARG",2020,"ARGr105","rural",90849,303026,14890,269520
"ARG",2020,"ARGr105","urban",1023611,3414261,167771,3036736
"ARG",2020,"ARGr104","rural",29881,100327,0,91540
"ARG",2020,"ARGr104","urban",1049376,3523282,0,3214715
"ARG",2025,"ARGr110","rural",33725,159908,0,143445
"ARG",2025,"ARGr110","urban",721838,3422588,0,3070212
"ARG",2025,"ARGr111","rural",64221,221307,0,264800
"ARG",2025,"ARGr111","urban",715179,2464516,0,2948857
"ARG",2025,"ARGr101","rural",0,0,0,0
"ARG",2025,"ARGr101","urban",563080,3616104,0,3213657
"ARG",2025,"ARGr107","rural",145073,918539,0,1246348
"ARG",2025,"ARGr107","urban",228991,1449876,0,1967309
"ARG",2025,"ARGr106","rural",51214,172739,15406,309707
"ARG",2025,"ARGr106","urban",480209,1619676,144456,2903950
"ARG",2025,"ARGr109","rural",71464,416543,0,470443
"ARG",2025,"ARGr109","urban",416715,2428916,0,2743214
"ARG",2025,"ARGr108","rural",68415,254520,42934,376763
