"ISO3","YEAR","GDLCODE","geo_area","fies","population","stunting","u5pop"
"ARG",2020,"ARGr103","Urban",322854,1141276,0,86605
"ARG",2020,"ARGr102","Rural",95425,316452,0,24014
"ARG",2020,"ARGr102","Urban",5339498,17707007,0,1343689
"ARG",2020,"ARGr105","Rural",93167,303026,0,22995
"ARG",2020,"ARGr105","Urban",1049728,3414261,0,259090
"ARG",2020,"ARGr104","Rural",30400,100327,0,7613
"ARG",2020,"ARGr104","Urban",1067594,3523282,0,267363
"ARG",2025,"ARGr110","Rural",47304,159908,0,11435
"ARG",2025,"ARGr110","Urban",1012466,3422588,0,244755
"ARG",2025,"ARGr111","Rural",66356,221307,0,15826
"ARG",2025,"ARGr111","Urban",738953,2464516,0,176242
"ARG",2025,"ARGr101","Rural",0,0,0,0
"ARG",2025,"ARGr101","Urban",815913,3616104,0,258594
"ARG",2025,"ARGr107","Rural",196564,918539,0,65686
"ARG",2025,"ARGr107","Urban",310269,1449876,0,103683
"ARG",2025,"ARGr106","Rural",52333,172739,0,12353
"ARG",2025,"ARGr106","Urban",490699,1619676,0,115826
"ARG",2025,"ARGr109","Rural",104722,416543,0,29788
"ARG",2025,"ARGr109","Urban",610648,2428916,0,173696
"ARG",2025,"ARGr108","Rural",72310,254520,0,18201
"ARG",2025,"ARGr108","Urban",544466,1916448,0,137048
"ARG",2025,"ARGr103","Rural",74411,264202,0,18894
"ARG",2025,"ARGr103","Urban",335232,1190269,0,85118
"ARG",2025,"ARGr102","Rural",85479,283500,0,20274
"ARG",2025,"ARGr102","Urban",5519602,18306269,0,1309113
"ARG",2025,"ARGr105","Rural",74175,242115,0,17314
"ARG",2025,"ARGr105","Urban",1100449,3591971,0,256868
"ARG",2025,"ARGr104","Rural",27741,93726,0,6703
"ARG",2025,"ARGr104","Urban",1078489,3643740,0,260570
"ARG",2030,"ARGr110","Rural",19305,147928,0,10029
"ARG",2030,"ARGr110","Urban",460879,3531506,0,239423
"ARG",2030,"ARGr111","Rural",33530,199523,0,13527
"ARG",2030,"ARGr111","Urban",430038,2558975,0,173489
"ARG",2030,"ARGr101","Rural",0,0,0,0
"ARG",2030,"ARGr101","Urban",361601,3713951,0,251793
"ARG",2030,"ARGr107","Rural",92200,902919,0,61215
"ARG",2030,"ARGr107","Urban",156191,1529583,0,103700
"ARG",2030,"ARGr106","Rural",28183,158399,0,10739
"ARG",2030,"ARGr106","Urban",299356,1682517,0,114069
"ARG",2030,"ARGr109","Rural",34591,341273,0,23137
"ARG",2030,"ARGr109","Urban",261627,2581181,0,174995
"ARG",2030,"ARGr108","Rural",38316,225680,0,15300
"ARG",2030,"ARGr108","Urban",340244,2004032,0,135866
"ARG",2030,"ARGr103","Rural",39184,258543,0,17528
"ARG",2030,"ARGr103","Urban",187217,1235285,0,83748
"ARG",2030,"ARGr102","Rural",42423,249867,0,16940
"ARG",2030,"ARGr102","Urban",3199202,18842920,0,1277483
"ARG",2030,"ARGr105","Rural",29519,179418,0,12164
"ARG",2030,"ARGr105","Urban",618358,3758414,0,254807
"ARG",2030,"ARGr104","Rural",11009,86803,0,5885
"ARG",2030,"ARGr104","Urban",475849,3751795,0,254358
"ARM",2020,"ARMr111","Rural",0,0,0,0
"ARM",2020,"ARMr111","Urban",157922,879451,0,52559
"ARM",2020,"ARMr110","Rural",40395,137407,0,8212
"ARM",2020,"ARMr110","Urban",2110,7177,0,429
"ARM",2020,"ARMr101","Rural",41066,146655,0,8765
"ARM",2020,"ARMr101","Urban",4003,14294,0,854
"ARM",2020,"ARMr103","Rural",641,3035,0,181
"ARM",2020,"ARMr103","Urban",56381,267134,0,15965
"ARM",2020,"ARMr102","Rural",12201,47110,0,2815
"ARM",2020,"ARMr102","Urban",61570,237727,0,14207
"ARM",2020,"ARMr109","Rural",10474,58924,0,3521
"ARM",2020,"ARMr109","Urban",134,752,0,45
"ARM",2020,"ARMr108","Rural",37935,129387,0,7733
"ARM",2020,"ARMr108","Urban",3054,10415,0,622
"ARM",2020,"ARMr105","Rural",47666,177213,0,10591
"ARM",2020,"ARMr105","Urban",4925,18309,0,1094
"ARM",2020,"ARMr104","Rural",48944,227077,0,13571
"ARM",2020,"ARMr104","Urban",3130,14523,0,868
"ARM",2020,"ARMr107","Rural",56566,209994,0,12550
"ARM",2020,"ARMr107","Urban",10103,37508,0,2242
"ARM",2020,"ARMr106","Rural",15476,88829,0,5309
"ARM",2020,"ARMr106","Urban",42243,242461,0,14490
"ARM",2025,"ARMr111","Rural",0,0,0,0
"ARM",2025,"ARMr111","Urban",108738,803139,0,43503
"ARM",2025,"ARMr110","Rural",13214,137096,0,7426
"ARM",2025,"ARMr110","Urban",722,7486,0,405
"ARM",2025,"ARMr101","Rural",16861,161379,0,8741
"ARM",2025,"ARMr101","Urban",1894,18124,0,982
"ARM",2025,"ARMr103","Rural",391,3057,0,166
"ARM",2025,"ARMr103","Urban",34066,266420,0,14431
"ARM",2025,"ARMr102","Rural",4132,38550,0,2088
"ARM",2025,"ARMr102","Urban",28303,264080,0,14304
"ARM",2025,"ARMr109","Rural",3880,54769,0,2967
"ARM",2025,"ARMr109","Urban",52,738,0,40
"ARM",2025,"ARMr108","Rural",13474,135002,0,7312
"ARM",2025,"ARMr108","Urban",1152,11546,0,625
"ARM",2025,"ARMr105","Rural",34187,153658,0,8323
"ARM",2025,"ARMr105","Urban",3755,16876,0,914
"ARM",2025,"ARMr104","Rural",48738,239088,0,12950
"ARM",2025,"ARMr104","Urban",3288,16129,0,874
"ARM",2025,"ARMr107","Rural",16428,199375,0,10799
"ARM",2025,"ARMr107","Urban",3104,37669,0,2040
"ARM",2025,"ARMr106","Rural",5417,73388,0,3975
"ARM",2025,"ARMr106","Urban",21157,286598,0,15524
"ARM",2030,"ARMr111","Rural",0,0,0,0
"ARM",2030,"ARMr111","Urban",107282,730684,0,37810
"ARM",2030,"ARMr110","Rural",14102,136523,0,7065
"ARM",2030,"ARMr110","Urban",806,7807,0,404
"ARM",2030,"ARMr101","Rural",18102,176786,0,9148
"ARM",2030,"ARMr101","Urban",2340,22851,0,1182
"ARM",2030,"ARMr103","Rural",448,3073,0,159
"ARM",2030,"ARMr103","Urban",38680,265244,0,13725
"ARM",2030,"ARMr102","Rural",2925,28335,0,1466
"ARM",2030,"ARMr102","Urban",30188,292413,0,15131
"ARM",2030,"ARMr109","Rural",4508,50813,0,2629
"ARM",2030,"ARMr109","Urban",64,725,0,38
"ARM",2030,"ARMr108","Rural",13446,140512,0,7271
"ARM",2030,"ARMr108","Urban",1226,12808,0,663
"ARM",2030,"ARMr105","Rural",21602,132798,0,6872
"ARM",2030,"ARMr105","Urban",2530,15554,0,805
"ARM",2030,"ARMr104","Rural",50372,251089,0,12993
"ARM",2030,"ARMr104","Urban",3593,17909,0,927
"ARM",2030,"ARMr107","Rural",17685,188799,0,9770
"ARM",2030,"ARMr107","Urban",3543,37827,0,1957
"ARM",2030,"ARMr106","Rural",4328,52526,0,2718
"ARM",2030,"ARMr106","Urban",27804,337404,0,17459
"AUS",2020,"AUSr106","Rural",7503,87532,0,5554
"AUS",2020,"AUSr106","Urban",38909,453892,0,28801
"AUS",2020,"AUSr105","Rural",31988,351353,0,22295
"AUS",2020,"AUSr105","Urban",216108,2373702,0,150619
"AUS",2020,"AUSr108","Rural",90,1006,0,64
"AUS",2020,"AUSr108","Urban",38282,429274,0,27239
"AUS",2020,"AUSr107","Rural",4780,50128,0,3181
"AUS",2020,"AUSr107","Urban",19997,209700,0,13306
"AUS",2020,"AUSr102","Rural",35984,410114,0,26023
"AUS",2020,"AUSr102","Urban",544092,6201048,0,393477
"AUS",2020,"AUSr101","Rural",74875,834693,0,52964
"AUS",2020,"AUSr101","Urban",661175,7370671,0,467693
"AUS",2020,"AUSr104","Rural",13943,158347,0,10048
"AUS",2020,"AUSr104","Urban",144992,1646631,0,104484
"AUS",2020,"AUSr103","Rural",56694,630367,0,39999
"AUS",2020,"AUSr103","Urban",406776,4522816,0,286988
"AUS",2025,"AUSr106","Rural",9135,87424,0,5238
"AUS",2025,"AUSr106","Urban",49050,469431,0,28125
"AUS",2025,"AUSr105","Rural",38988,352199,0,21102
"AUS",2025,"AUSr105","Urban",285452,2578621,0,154495
"AUS",2025,"AUSr108","Rural",118,1066,0,64
"AUS",2025,"AUSr108","Urban",51152,463381,0,27763
"AUS",2025,"AUSr107","Rural",5707,50407,0,3020
"AUS",2025,"AUSr107","Urban",25372,224095,0,13426
"AUS",2025,"AUSr102","Rural",44564,417041,0,24986
"AUS",2025,"AUSr102","Urban",724111,6776399,0,405999
"AUS",2025,"AUSr101","Rural",85066,785500,0,47062
"AUS",2025,"AUSr101","Urban",860137,7942554,0,475868
"AUS",2025,"AUSr104","Rural",16343,150892,0,9040
"AUS",2025,"AUSr104","Urban",188396,1739470,0,104218
"AUS",2025,"AUSr103","Rural",69401,627568,0,37600
"AUS",2025,"AUSr103","Urban",540413,4886765,0,292784
"AUS",2030,"AUSr106","Rural",9351,86878,0,4811
"AUS",2030,"AUSr106","Urban",51831,481551,0,26667
"AUS",2030,"AUSr105","Rural",39173,351825,0,19483
"AUS",2030,"AUSr105","Urban",309173,2776748,0,153767
"AUS",2030,"AUSr108","Rural",123,1124,0,62
"AUS",2030,"AUSr108","Urban",54156,496459,0,27492
"AUS",2030,"AUSr107","Rural",5743,50490,0,2796
