"ISO3","YEAR","u5_frac"
"ESP",2025,0.0389033441543285
"ESP",2030,0.0370170151392496
"EST",2010,0.0583302265237037
"EST",2015,0.0579853122832611
"EST",2020,0.0560424655363309
"EST",2025,0.0518947917317092
"EST",2030,0.0472620704566693
"ETH",2010,0.143842485902037
"ETH",2015,0.140215316733271
"ETH",2020,0.135988310856573
"ETH",2025,0.128159966619901
"ETH",2030,0.117206320191665
"FIN",2010,0.0558252366377435
"FIN",2015,0.0561767711178654
"FIN",2020,0.05646534026178
"FIN",2025,0.0560293124151275
"FIN",2030,0.0547469481105372
"FJI",2010,0.104054853286515
"FJI",2015,0.0951421513639145
"FJI",2020,0.0855923524928922
"FJI",2025,0.078709516496332
"FJI",2030,0.0748548040173065
"FRA",2010,0.0632998810633555
"FRA",2015,0.0617825249976316
"FRA",2020,0.0604410503073106
"FRA",2025,0.058567750112242
"FRA",2030,0.0568561250486972
"FSM",2010,0.119183533818339
"FSM",2015,0.109295572359542
"FSM",2020,0.102763344351117
"FSM",2025,0.0990760863836325
"FSM",2030,0.0939153214712226
"GAB",2010,0.123004683608963
"GAB",2015,0.111649279873268
"GAB",2020,0.104697495041378
"GAB",2025,0.0972455060226887
"GAB",2030,0.0896815723153659
"GBR",2010,0.0607042056678128
"GBR",2015,0.0630384520558686
"GBR",2020,0.0621389893645939
"GBR",2025,0.06007179797112
"GBR",2030,0.0573773751637474
"GEO",2010,0.0589256944233825
"GEO",2015,0.0679295597081366
"GEO",2020,0.0604821393150715
"GEO",2025,0.0521215189549189
"GEO",2030,0.0466146428815779
"GHA",2010,0.144838989689291
"GHA",2015,0.13572292897999
"GHA",2020,0.127303640823605
"GHA",2025,0.118935694228618
"GHA",2030,0.112166076891928
"GIN",2010,0.166094079199807
"GIN",2015,0.155649937204532
"GIN",2020,0.142959063509165
"GIN",2025,0.132510088111741
"GIN",2030,0.123144978075646
"GLP",2010,0.0729118276610689
"GLP",2015,0.0670651589149834
"GLP",2020,0.0632915914288372
"GLP",2025,0.0628240553735643
"GLP",2030,0.0617172916520457
"GMB",2010,0.166095230601356
"GMB",2015,0.154684899904079
"GMB",2020,0.13984230267082
"GMB",2025,0.126942803328458
"GMB",2030,0.116551094841946
"GNB",2010,0.158623411455996
"GNB",2015,0.148913919284869
"GNB",2020,0.136830656106991
"GNB",2025,0.125098207182906
"GNB",2030,0.115006519176092
"GNQ",2010,0.153065172665373
"GNQ",2015,0.14340833877892
"GNQ",2020,0.135305279318905
"GNQ",2025,0.123358561644967
"GNQ",2030,0.113823977008658
"GRC",2010,0.0515995375085854
"GRC",2015,0.0490228347770117
"GRC",2020,0.045196049156139
"GRC",2025,0.0422017044505244
"GRC",2030,0.0408912644012177
"GRD",2010,0.0927100979069166
"GRD",2015,0.0917066357223292
"GRD",2020,0.0871716246032019
"GRD",2025,0.0786039779819873
"GRD",2030,0.0700973039731254
"GTM",2010,0.150630251911035
"GTM",2015,0.136069060292082
"GTM",2020,0.123437525858687
"GTM",2025,0.115248202731445
"GTM",2030,0.108086942069614
"GUF",2010,0.116248690910287
"GUF",2015,0.10138803743901
"GUF",2020,0.09407446448406
"GUF",2025,0.0876322650040869
"GUF",2030,0.0814245862729798
"GUM",2010,0.0885178102903901
"GUM",2015,0.0813643842272144
"GUM",2020,0.0777345276352361
"GUM",2025,0.0747665941011843
"GUM",2030,0.0701975238761946
"GUY",2010,0.0859093457460838
"GUY",2015,0.0823513330571589
"GUY",2020,0.0830706376330299
"GUY",2025,0.0840685917261121
"GUY",2030,0.0793949624255386
"HKG",2010,0.0324529797797847
"HKG",2015,0.0429456133442797
"HKG",2020,0.0407049141640178
"HKG",2025,0.0384734151256406
"HKG",2030,0.0354924281801854
"HND",2010,0.127096763328423
"HND",2015,0.115818160320927
"HND",2020,0.107102747231756
"HND",2025,0.0990839842216642
"HND",2030,0.090911482764474
"HRV",2010,0.0476702858972641
"HRV",2015,0.0480254129000122
"HRV",2020,0.0458160457402016
"HRV",2025,0.0432291682346504
"HRV",2030,0.0408084541292797
"HTI",2010,0.123803904776896
"HTI",2015,0.112593122717797
"HTI",2020,0.105349312548735
"HTI",2025,0.098283331000212
"HTI",2030,0.0914119433109545
"HUN",2010,0.0491608024924764
"HUN",2015,0.0442808778576148
"HUN",2020,0.0432155785431155
"HUN",2025,0.0427736260498987
"HUN",2030,0.0421169697446911
"IDN",2010,0.0899603606360941
"IDN",2015,0.0820434577097701
"IDN",2020,0.0750998812673934
"IDN",2025,0.0690489466363612
"IDN",2030,0.0635917752425766
"IND",2010,0.104505951937961
"IND",2015,0.097255904500445
"IND",2020,0.0901360180228584
"IND",2025,0.0829622838932085
"IND",2030,0.0768506270914541
"IRL",2010,0.0801624197409338
"IRL",2015,0.074340171051568
"IRL",2020,0.068208841476501
"IRL",2025,0.0618430839635799
"IRL",2030,0.0580548081539021
"IRN",2010,0.083128690588795
"IRN",2015,0.0817221820230138
"IRN",2020,0.0739596788234942
"IRN",2025,0.0625102877617787
"IRN",2030,0.0539265466659838
"IRQ",2010,0.163811631692263
"IRQ",2015,0.146017625276811
"IRQ",2020,0.131702417005253
"IRQ",2025,0.121302035923436
"IRQ",2030,0.113907404432404
"ISL",2010,0.0734406751930538
"ISL",2015,0.0737574954913904
"ISL",2020,0.0709369724091401
"ISL",2025,0.065961007155467
"ISL",2030,0.0606161071104216
"ISR",2010,0.0991107246845681
"ISR",2015,0.102091607236011
"ISR",2020,0.0991614612486027
"ISR",2025,0.0948066778654317
"ISR",2030,0.0905582326986085
"ITA",2010,0.0479209308513731
"ITA",2015,0.0430097798340223
"ITA",2020,0.0407503005440333
"ITA",2025,0.0397348375927762
"ITA",2030,0.0396545183765927
"JAM",2010,0.0899446635817197
"JAM",2015,0.085598555724188
"JAM",2020,0.0839643413150398
"JAM",2025,0.0805742469669976
"JAM",2030,0.0737366266213581
"JOR",2010,0.131886707890304
"JOR",2015,0.110085467771414
"JOR",2020,0.104077970867077
"JOR",2025,0.0963283472939015
"JOR",2030,0.087822735789986
"JPN",2010,0.0429189829994826
"JPN",2015,0.04146218271326
"JPN",2020,0.0381803653735067
"JPN",2025,0.0358955422463466
"JPN",2030,0.0346998910750745
"KAZ",2010,0.102390828810625
"KAZ",2015,0.0921619615905049
"KAZ",2020,0.0818336348595481
